t_s,delta_road_rad,yaw_rate_meas_rads,yaw_rate_resid_rads,yaw_rate_pred_rads
41.1,-0.00431199,-0.0318156,0.0077207,-0.034818313526859476
41.12,-0.00431199,-0.0326483,0.00699512,-0.03492539142207097
41.14,-0.00431199,-0.0333063,0.0063386,-0.03492683646789028
41.16,-0.00431199,-0.0342366,0.0053503,-0.03486889013053562
41.18,-0.00431199,-0.0346392,0.00491614,-0.03483738813167448
41.2,-0.00431199,-0.0348204,0.00479105,-0.03489345590946403
41.22,-0.00431199,-0.0350471,0.00457671,-0.034905738798928235
41.24,-0.00431199,-0.0351083,0.00443428,-0.03482467172846448
41.26,-0.00420932,-0.034099,0.00446817,-0.033849139256459326
41.28,-0.00420932,-0.0336,0.00506328,-0.03394520372865451
41.3,-0.00420932,-0.0335816,0.00508012,-0.033943652026460464
41.32,-0.00420932,-0.0330543,0.00556941,-0.033905705854624185
41.34,-0.00420932,-0.0320339,0.00656337,-0.03387932691732536
41.36,-0.00422719,-0.0326696,0.00613524,-0.034086819785916656
41.38,-0.00431199,-0.0332,0.00634367,-0.034825683260538
41.4,-0.00431199,-0.0327586,0.00672746,-0.034768025932347194
41.42,-0.00431199,-0.0322,0.00729797,-0.03478001981264754
41.44,-0.00431199,-0.0323652,0.00718935,-0.03483652110418288
41.46,-0.00431199,-0.032038,0.00751456,-0.03483449804003584
41.48,-0.00431199,-0.0322445,0.00724531,-0.03477178305147743
41.5,-0.00431199,-0.0326,0.0068546,-0.03473666843806799
41.52,-0.00431199,-0.0323472,0.00717057,-0.0347998169403722
41.54,-0.00431199,-0.0322706,0.00721724,-0.03476990449191231
41.56,-0.00420932,-0.0330752,0.00544773,-0.033804845212011034
41.58,-0.00420932,-0.0337129,0.00474235,-0.03373727563465201
41.6,-0.00420932,-0.0327938,0.00572863,-0.033804422020503565
41.62,-0.00420932,-0.0324,0.00614277,-0.03382473521286202
41.64,-0.00420932,-0.0324783,0.00601578,-0.033776068189503225
41.66,-0.00420932,-0.0334608,0.00502501,-0.033767886487025514
41.68,-0.00420932,-0.0337189,0.00475476,-0.03375561393330895
41.7,-0.00420932,-0.0327836,0.00571417,-0.03377973584923461
41.72,-0.00420932,-0.0324,0.00607272,-0.03375462648645819
41.74,-0.00420932,-0.0324,0.00604386,-0.03372584946395039
41.76,-0.00420932,-0.0323182,0.0060677,-0.0336678722274273
41.78,-0.00420932,-0.0314597,0.00693193,-0.03367365584469603
41.8,-0.00420932,-0.0310155,0.00736544,-0.033662934993173514
41.82,-0.00420932,-0.0317056,0.006659,-0.033646571588218085
41.84,-0.00420932,-0.0303296,0.00802948,-0.03364107009862101
41.86,-0.00420932,-0.0298353,0.00853965,-0.033656869248233134
41.88,-0.00420932,-0.0305221,0.00785932,-0.033663358184680976
41.9,-0.00420932,-0.0309616,0.00731237,-0.03355586754178416
41.92,-0.00420932,-0.0302,0.00804945,-0.03353146349818685
41.94,-0.00420932,-0.0303059,0.00795573,-0.033543594988067596
41.96,-0.00420932,-0.0314,0.00687355,-0.033555585414112514
41.98,-0.00410666,-0.0312003,0.00608613,-0.03256845733586827
42.0,-0.00410666,-0.0299948,0.00724822,-0.03252496833267917
42.02,-0.00410666,-0.0305274,0.00676085,-0.032570246440429856
42.04,-0.00410666,-0.0312,0.0060763,-0.03255827320221006
42.06,-0.00420932,-0.0311547,0.00696476,-0.03340140264155843
42.08,-0.00420932,-0.0308,0.00729673,-0.033378691363990985
42.1,-0.00420932,-0.0306,0.00751624,-0.033398158173334504
42.12,-0.00420932,-0.0306872,0.00745414,-0.033423267536110926
42.14,-0.00420932,-0.0314904,0.00657481,-0.03334723412860255
42.16,-0.00420932,-0.0323393,0.0056641,-0.033285307104676434
42.18,-0.00420932,-0.0332419,0.00480761,-0.033331434978990424
42.2,-0.00420932,-0.0336166,0.00444548,-0.03334398966037863
42.22,-0.00420932,-0.0337171,0.00429442,-0.033293488807154145
42.24,-0.00420932,-0.033,0.00493184,-0.03321378773991438
42.26,-0.00420932,-0.033,0.00489177,-0.033173725610540765
42.28,-0.00420932,-0.0332,0.00478864,-0.03327063646575089
42.3,-0.00420932,-0.0329442,0.00499634,-0.03322253369773539
42.32,-0.00420932,-0.0317443,0.00610664,-0.03313295816198804
42.34,-0.00420932,-0.0316788,0.00621482,-0.033175559440406455
42.36,-0.00420932,-0.0328402,0.00506584,-0.03318797305795885
42.38,-0.00420932,-0.0327008,0.00515767,-0.03314043454528664
42.4,-0.00420932,-0.0319919,0.00582516,-0.033098961777554795
42.42,-0.00410666,-0.0316,0.00529741,-0.032179395905439126
42.44,-0.00410666,-0.0312793,0.0055674,-0.0321287504840037
42.46,-0.00410666,-0.0299881,0.00681622,-0.0320863624682371
42.48,-0.00410666,-0.0285679,0.0082507,-0.03210067530472972
42.5,-0.00410666,-0.028407,0.00841878,-0.03210783172297603
42.52,-0.00410666,-0.0294242,0.00740861,-0.03211485051779453
42.54,-0.00410666,-0.030712,0.00610974,-0.03210370302014162
42.56,-0.00410666,-0.0314397,0.00531475,-0.03203654278736857
42.58,-0.00410666,-0.0316456,0.00509003,-0.03201755075433028
42.6,-0.00410666,-0.0315936,0.00515544,-0.032031037850256024
42.62,-0.00408165,-0.0310974,0.0053986,-0.03177809453650537
42.64,-0.00400399,-0.0322711,0.00350706,-0.03106020786573186
42.66,-0.00400399,-0.0321288,0.00361496,-0.03102572291502391
42.68,-0.00400399,-0.0313613,0.00441153,-0.03105484055822868
42.7,-0.00400399,-0.0310388,0.0047174,-0.03103820190496881
42.72,-0.00390132,-0.0324799,0.00234954,-0.030111398457454946
42.74,-0.00400399,-0.032241,0.00338102,-0.030904019217389243
42.76,-0.00400399,-0.0313582,0.00432931,-0.030969500368928073
42.78,-0.00400399,-0.0312,0.00452829,-0.031010291905952267
42.8,-0.00400399,-0.0307867,0.00486818,-0.030936893975846237
42.82,-0.00400399,-0.029271,0.00635055,-0.030903482486638927
42.84,-0.00390132,-0.0286423,0.00612918,-0.03005347977352768
42.86,-0.00390132,-0.0292898,0.00548719,-0.030058970935434998
42.88,-0.00390132,-0.0295633,0.00517453,-0.030019748350382673
42.9,-0.00390132,-0.0289869,0.00567549,-0.02994431024513204
42.92,-0.00390132,-0.0288565,0.00591664,-0.03005504867692977
42.94,-0.00390132,-0.0289606,0.00567604,-0.02991855408094768
42.96,-0.00390132,-0.0287572,0.00588543,-0.0299245682106557
42.98,-0.00390132,-0.027713,0.00692717,-0.029922084113602393
43.0,-0.00390132,-0.026783,0.00786408,-0.029929144178911807
43.02,-0.00390132,-0.0268199,0.00783911,-0.029941041696377672
43.04,-0.00390132,-0.0278766,0.00672603,-0.02988469191585251
43.06,-0.00390132,-0.028842,0.00578725,-0.029911232531737914
43.08,-0.00390132,-0.0296672,0.00497039,-0.029919600016549072
43.1,-0.00390132,-0.0302196,0.00444142,-0.029943002825630297
43.12,-0.00390132,-0.0308994,0.00374136,-0.02992273782335326
43.14,-0.00390132,-0.0314379,0.00310878,-0.029828603619227685
