segment,regime,n,rmse_imu,rmse_model
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000002--7f2db42420/4/sim.csv,all,2862,4.570428295544514,6.76263115140248
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000002--7f2db42420/4/sim.csv,cruise,203,4.7108940306187606,5.1765830513595805
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000002--7f2db42420/4/sim.csv,accel,555,3.1122239401915435,6.538482734631264
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000002--7f2db42420/4/sim.csv,brake,1108,4.488789112109988,7.985111714351639
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000002--7f2db42420/4/sim.csv,coast,198,4.535232121900143,5.781566199120069
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000002--7f2db42420/4/sim.csv,other,798,5.427251467705772,5.535778876732286
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000003--d982c4861b/3/sim.csv,all,2899,1.0935070296007807,4.472457135488979
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000003--d982c4861b/3/sim.csv,cruise,1756,0.7810511361127861,4.20961159896147
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000003--d982c4861b/3/sim.csv,accel,145,1.5833150946209478,2.5597574255517173
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000003--d982c4861b/3/sim.csv,brake,864,1.476514040511337,5.254313926906409
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000003--d982c4861b/3/sim.csv,coast,41,1.418843296096769,3.7801934961569534
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000003--d982c4861b/3/sim.csv,other,93,0.8400733825874541,3.99114996000487
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000003--d982c4861b/6/sim.csv,all,2898,1.9408026153339752,4.087691090986769
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000003--d982c4861b/6/sim.csv,cruise,485,2.121529912976519,4.742158637461406
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000003--d982c4861b/6/sim.csv,accel,891,1.4522538782069643,3.4960204151189425
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000003--d982c4861b/6/sim.csv,brake,747,1.892212116569192,3.3847764141341434
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000003--d982c4861b/6/sim.csv,coast,119,1.9549795069877685,4.476848938501875
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000003--d982c4861b/6/sim.csv,other,656,2.382748059785248,4.88955394905981
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000004--725cea7f03/1/sim.csv,all,2899,0.3494321615249161,5.56798064454376
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000004--725cea7f03/1/sim.csv,cruise,775,0.4778814474923792,7.834667050339685
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000004--725cea7f03/1/sim.csv,accel,607,0.4727373935790511,6.3592039004260785
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000004--725cea7f03/1/sim.csv,brake,571,0.2230186063118898,4.323316190035039
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000004--725cea7f03/1/sim.csv,coast,58,0.3377628600844362,7.148803579253705
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000004--725cea7f03/1/sim.csv,other,888,0.08435793037091491,2.154362727192101
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000004--725cea7f03/2/sim.csv,all,2899,1.042506517687228,3.5581015683113164
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000004--725cea7f03/2/sim.csv,cruise,1789,0.5525419559427222,3.3136583197829617
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000004--725cea7f03/2/sim.csv,accel,546,1.6484646715689133,3.7246397240604803
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000004--725cea7f03/2/sim.csv,brake,509,1.4563048685769497,3.9751368965464313
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000004--725cea7f03/2/sim.csv,coast,36,0.8266426167852793,5.204566149983417
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000004--725cea7f03/2/sim.csv,other,19,0.9370976716496641,4.946717828359571
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000004--725cea7f03/7/sim.csv,all,2900,2.958011805199103,5.476240880759615
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000004--725cea7f03/7/sim.csv,cruise,1325,3.225018523416501,6.775523170111338
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000004--725cea7f03/7/sim.csv,accel,628,3.0336778391856574,4.763835367935075
