t_s,delta_road_rad,v_mps,yaw_rate_pred_rads,yaw_rate_meas_rads,yaw_rate_resid_rads
5.02,0.000718665,9.6055,0.01564144875059284,0.0147198,0.0124064
5.04,0.000718665,9.60281,0.0156410575015936,0.0144,0.0120873
5.06,0.000718665,9.60278,0.015641053114532028,0.014797,0.0124843
5.08,0.000718665,9.59476,0.015639886279409272,0.015,0.0126892
5.1,0.000718665,9.63378,0.01564555908013917,0.0150084,0.0126882
5.12,0.000718665,9.65246,0.015648270982116786,0.0153927,0.013068
5.14,0.000718665,9.64722,0.015647510517908192,0.0149985,0.0126751
5.16,0.000718665,9.64726,0.015647516291315586,0.0150008,0.0126774
5.18,0.000718665,9.67815,0.015651996593456837,0.0159184,0.0135875
5.2,0.000718665,9.70232,0.018471923695197602,0.0156082,0.0132715
5.22,0.000615999,9.69149,0.018164556589725232,0.015,0.0129993
5.24,0.000615999,9.68341,0.015347195367518232,0.0151962,0.0131972
5.26,0.000615999,9.66951,0.015345585892481053,0.0148019,0.0128058
5.28,0.000615999,9.68488,0.01816379169861389,0.0142279,0.0122286
5.3,0.000513332,9.68338,0.017858052489369707,0.014597,0.0129311
5.32,0.000513332,9.69144,0.01504232417641757,0.0142209,0.0125537
5.34,0.000513332,9.68341,0.015041628908553518,0.0136075,0.0119417
5.36,0.000513332,9.68333,0.015041622005573563,0.0136,0.0119342
5.38,0.000513332,9.69106,0.015042291270054176,0.0139724,0.0123053
5.4,0.000513332,9.70552,0.015043542474021423,0.0136005,0.0119309
5.42,0.000513332,9.71363,0.015044243713477047,0.0143745,0.0127035
5.44,0.000513332,9.71114,0.015044028445436512,0.0151968,0.0135262
5.46,0.000513332,9.73312,0.015045927699319889,0.0150037,0.0133293
5.48,0.000513332,9.73333,0.01504594583177027,0.0142145,0.0125401
5.5,0.000513332,9.75796,0.015048071073225552,0.0135849,0.0119063
5.52,0.000513332,9.74173,0.0150466709800889,0.013089,0.0114131
5.54,0.000513332,9.73621,0.015046194482293565,0.0134,0.0117251
5.56,0.000513332,9.74675,0.015047104170348885,0.0134,0.0117233
5.58,0.000513332,9.78316,0.015050242384299814,0.0136,0.011917
5.6,0.000513332,9.79158,0.015050967128782644,0.013003,0.0113185
5.62,0.000513332,9.77797,0.015049795454283657,0.0136053,0.0119233
5.64,0.000513332,9.80649,0.01505224965978807,0.0144119,0.0127249
5.66,0.000513332,9.8354,0.015054733207793415,0.0151909,0.013499
5.68,0.000513332,9.84449,0.015055513186479397,0.0151967,0.0135031
5.7,0.000513332,9.85499,0.015056413666995654,0.0145943,0.012899
5.72,0.000513332,9.81711,0.01505316245604152,0.0140092,0.0123204
5.74,0.000513332,9.84161,0.012238839942447748,0.0138,0.012107
5.76,0.000615999,9.81668,0.012546141084808518,0.0147998,0.0127733
5.78,0.000615999,9.8244,0.015363454447211612,0.015,0.0129719
5.8,0.000615999,9.85789,0.015367298718409758,0.015,0.012965
5.82,0.000615999,9.85282,0.015366717187452326,0.015,0.012966
5.84,0.000615999,9.85549,0.015367023477098386,0.015,0.0129655
5.86,0.000615999,9.88512,0.015370419386678187,0.0158127,0.0137721
5.88,0.000615999,9.88349,0.018186658908899252,0.015046,0.0130057
5.9,0.000513332,9.90519,0.017877137218694092,0.0140064,0.0123024
5.92,0.000513332,9.88039,0.01505858965724854,0.0135985,0.0118988
5.94,0.000513332,9.83711,0.015054879978791468,0.013209,0.0115168
5.96,0.000513332,9.83067,0.015054327164092685,0.0124,0.0107088
5.98,0.000513332,9.82501,0.015053841111180155,0.0131896,0.0114995
6.0,0.000513332,9.85518,0.015056429977256659,0.0137949,0.0120996
6.02,0.000513332,9.85827,0.01787312101288137,0.0141899,0.012494
6.04,0.000410666,9.87502,0.01756342653056208,0.0143997,0.0130407
6.06,0.000410666,9.8999,0.017564835438345604,0.0143985,0.013036
6.08,0.000313464,9.92163,0.017270216488406886,0.0146,0.0135578
6.1,0.000307999,9.8977,0.017252922062246562,0.0138154,0.0127938
6.12,0.000307999,9.91938,0.014437094768103498,0.0130036,0.0119797
6.14,0.000307999,9.83963,0.014434884619208409,0.0126,0.0115844
6.16,0.000307999,9.88175,0.014436054336142666,0.0126,0.01158
6.18,0.000307999,10.05,0.014440672550026047,0.0133558,0.0123185
6.2,0.000307999,10.0223,0.014439918157581558,0.0136,0.0125655
6.22,0.000307999,9.93342,0.014437481859481618,0.0140161,0.0129908
